gene_id gene_name gene_type	269c35f0-a4f7-4e30-a69f-f1f3b7b5dace.tsv_TPM	d820ac02-a30e-437b-b20a-3e92705b7b81.tsv_TPM
ENSG00000006611.17 USH1C protein_coding	0.0176	2.8387
ENSG00000006625.18 GGCT protein_coding	26.1135	105.7381
ENSG00000006634.8 DBF4 protein_coding	2.5990	14.4745
ENSG00000006638.13 TBXA2R protein_coding	2.3571	3.6358
ENSG00000006652.15 IFRD1 protein_coding	3.4716	5.8091
ENSG00000006659.13 LGALS14 protein_coding	0.0957	0.0000
ENSG00000006695.12 COX10 protein_coding	6.2124	6.5803
ENSG00000006704.11 GTF2IRD1 protein_coding	4.9468	23.9995
ENSG00000006712.15 PAF1 protein_coding	39.7621	92.3502
ENSG00000006715.16 VPS41 protein_coding	25.3296	21.7230
ENSG00000006740.17 ARHGAP44 protein_coding	1.4528	1.7288
ENSG00000006744.19 ELAC2 protein_coding	28.2529	33.7552
ENSG00000006747.15 SCIN protein_coding	0.4280	1.3218
ENSG00000006756.16 ARSD protein_coding	12.4523	16.9229
ENSG00000006757.12 PNPLA4 protein_coding	19.5225	11.0732
ENSG00000006788.14 MYH13 protein_coding	0.0919	0.2690
ENSG00000006831.10 ADIPOR2 protein_coding	101.6390	47.2085
ENSG00000006837.12 CDKL3 protein_coding	0.3573	0.3169
ENSG00000007001.13 UPP2 protein_coding	0.3219	0.1181
ENSG00000007038.11 PRSS21 protein_coding	0.9459	0.0254
ENSG00000007047.15 MARK4 protein_coding	8.3275	44.1532
ENSG00000007062.12 PROM1 protein_coding	8.0945	83.2972
ENSG00000007080.11 CCDC124 protein_coding	39.1011	93.0919
ENSG00000007129.18 CEACAM21 protein_coding	1.0724	1.0348
ENSG00000007168.14 PAFAH1B1 protein_coding	31.1000	26.2937
ENSG00000007171.18 NOS2 protein_coding	0.4131	2.7789
ENSG00000007174.18 DNAH9 protein_coding	0.7611	0.0118
ENSG00000007202.15 KIAA0100 protein_coding	52.5960	125.8625
ENSG00000007216.15 SLC13A2 protein_coding	4.0104	0.0619
ENSG00000007237.19 GAS7 protein_coding	34.0428	4.8677
ENSG00000007255.10 TRAPPC6A protein_coding	23.6983	102.1437
ENSG00000007264.15 MATK protein_coding	0.6588	7.0780
ENSG00000007306.15 CEACAM7 protein_coding	0.0163	0.0000
ENSG00000007312.13 CD79B protein_coding	2.4132	0.5323
ENSG00000007314.12 SCN4A protein_coding	10.7084	0.0726
ENSG00000007341.19 ST7L protein_coding	3.0739	1.8954
ENSG00000007350.17 TKTL1 protein_coding	0.1473	0.0142
ENSG00000007372.24 PAX6 protein_coding	0.0189	0.0508
ENSG00000007376.8 RPUSD1 protein_coding	5.8442	22.6142
ENSG00000007384.15 RHBDF1 protein_coding	12.4507	18.7438
ENSG00000007392.17 LUC7L protein_coding	9.8224	6.9479
ENSG00000007402.12 CACNA2D2 protein_coding	1.2499	0.8587
ENSG00000007516.14 BAIAP3 protein_coding	1.2466	1.1271
ENSG00000007520.4 TSR3 protein_coding	35.5808	52.8231
ENSG00000007541.17 PIGQ protein_coding	6.0310	9.1712
ENSG00000007866.22 TEAD3 protein_coding	12.7296	52.6937
ENSG00000007908.16 SELE protein_coding	0.7737	0.4787
ENSG00000007923.16 DNAJC11 protein_coding	12.6241	20.9672
ENSG00000007933.13 FMO3 protein_coding	2.8813	0.9866
ENSG00000007944.15 MYLIP protein_coding	56.2555	21.8292
ENSG00000007952.18 NOX1 protein_coding	0.5104	0.9026
ENSG00000007968.7 E2F2 protein_coding	0.3882	10.4139
ENSG00000008018.9 PSMB1 protein_coding	155.7611	145.7736
ENSG00000008056.14 SYN1 protein_coding	0.2550	0.9356
ENSG00000008083.14 JARID2 protein_coding	6.6733	29.2068
ENSG00000008086.13 CDKL5 protein_coding	2.7588	5.0141
ENSG00000008118.10 CAMK1G protein_coding	0.3380	0.7496
ENSG00000008128.23 CDK11A protein_coding	0.3489	0.2846
ENSG00000008130.15 NADK protein_coding	36.6117	22.6455
ENSG00000008196.13 TFAP2B protein_coding	3.1564	0.1946
ENSG00000008197.5 TFAP2D protein_coding	0.0000	0.0000
ENSG00000008226.20 DLEC1 protein_coding	0.6227	0.1257
ENSG00000008256.16 CYTH3 protein_coding	34.9178	25.6779
ENSG00000008277.14 ADAM22 protein_coding	2.7418	0.2250
ENSG00000008282.9 SYPL1 protein_coding	147.0497	143.6441
ENSG00000008283.16 CYB561 protein_coding	24.5922	130.1274
ENSG00000008294.21 SPAG9 protein_coding	33.8422	20.3693
ENSG00000008300.17 CELSR3 protein_coding	0.3437	1.1492
ENSG00000008311.15 AASS protein_coding	22.1540	1.3552
ENSG00000008323.15 PLEKHG6 protein_coding	34.1786	33.9780
ENSG00000008324.12 SS18L2 protein_coding	6.7027	13.9701
ENSG00000008382.16 MPND protein_coding	4.2234	10.5197
ENSG00000008394.13 MGST1 protein_coding	241.8966	58.6728
ENSG00000008405.12 CRY1 protein_coding	9.9984	11.9887
ENSG00000008438.5 PGLYRP1 protein_coding	0.1833	0.0705
ENSG00000008441.18 NFIX protein_coding	125.1207	65.0772
ENSG00000008513.16 ST3GAL1 protein_coding	27.5247	70.6494
ENSG00000008516.17 MMP25 protein_coding	0.3159	1.8332
ENSG00000008517.18 IL32 protein_coding	11.8791	235.2653
ENSG00000008710.20 PKD1 protein_coding	11.5352	5.4677
ENSG00000008735.14 MAPK8IP2 protein_coding	0.7917	70.4375
ENSG00000008838.20 MED24 protein_coding	17.1784	36.6654
ENSG00000008853.17 RHOBTB2 protein_coding	4.4964	3.2831
ENSG00000008869.12 HEATR5B protein_coding	17.7951	16.0261
ENSG00000008952.17 SEC62 protein_coding	90.2332	38.5669
ENSG00000008988.11 RPS20 protein_coding	413.2730	336.5815
ENSG00000009307.16 CSDE1 protein_coding	590.2814	455.4570
ENSG00000009335.18 UBE3C protein_coding	29.0934	72.2630
ENSG00000009413.16 REV3L protein_coding	14.2292	2.6223
ENSG00000009694.13 TENM1 protein_coding	1.8521	0.1199
ENSG00000009709.12 PAX7 protein_coding	0.0067	0.0077
ENSG00000009724.17 MASP2 protein_coding	1.5450	0.0820
ENSG00000009765.15 IYD protein_coding	0.0251	0.0337
ENSG00000009780.16 FAM76A protein_coding	15.4640	12.1347
ENSG00000009790.15 TRAF3IP3 protein_coding	0.6086	0.4571
ENSG00000009830.12 POMT2 protein_coding	4.5531	5.6442
ENSG00000009844.16 VTA1 protein_coding	13.9799	15.6258
ENSG00000009950.16 MLXIPL protein_coding	40.3845	0.5907
ENSG00000009954.11 BAZ1B protein_coding	48.1354	86.5041
ENSG00000010017.13 RANBP9 protein_coding	29.2766	33.0843
ENSG00000010030.14 ETV7 protein_coding	1.0207	7.7764
ENSG00000010072.16 SPRTN protein_coding	3.6192	5.5758
ENSG00000010219.13 DYRK4 protein_coding	2.8339	4.5623
ENSG00000010244.19 ZNF207 protein_coding	13.9398	20.2698
ENSG00000010256.11 UQCRC1 protein_coding	94.1954	223.1742
ENSG00000010270.14 STARD3NL protein_coding	13.9094	23.0553
ENSG00000010278.15 CD9 protein_coding	47.1959	171.7790
ENSG00000010282.15 HHATL protein_coding	1.4383	0.0346
ENSG00000010292.13 NCAPD2 protein_coding	17.5083	62.8049
ENSG00000010295.20 IFFO1 protein_coding	9.2926	4.3892
ENSG00000010310.9 GIPR protein_coding	0.6061	0.3248
ENSG00000010318.21 PHF7 protein_coding	6.5341	1.6909
ENSG00000010319.7 SEMA3G protein_coding	103.6162	2.5803
ENSG00000010322.16 NISCH protein_coding	32.8076	18.5497
ENSG00000010327.10 STAB1 protein_coding	39.7219	5.0800
ENSG00000010361.14 FUZ protein_coding	11.2385	2.0952
ENSG00000010379.16 SLC6A13 protein_coding	0.0408	0.0000
ENSG00000010404.18 IDS protein_coding	1.9926	1.8575
ENSG00000010438.17 PRSS3 protein_coding	0.0607	9.6289
ENSG00000010539.12 ZNF200 protein_coding	2.5045	3.7997
ENSG00000010610.10 CD4 protein_coding	35.0844	8.2338
ENSG00000010626.15 LRRC23 protein_coding	4.6502	6.7519
ENSG00000010671.16 BTK protein_coding	3.9344	1.0470
ENSG00000010704.18 HFE protein_coding	10.9031	4.4488
ENSG00000010803.16 SCMH1 protein_coding	32.0018	43.0511
ENSG00000010810.17 FYN protein_coding	26.0222	12.7246
ENSG00000010818.10 HIVEP2 protein_coding	15.8417	10.1430
ENSG00000010932.17 FMO1 protein_coding	7.4958	0.8450
ENSG00000011009.11 LYPLA2 protein_coding	26.1199	144.1558
ENSG00000011021.23 CLCN6 protein_coding	11.8324	1.8254
ENSG00000011028.14 MRC2 protein_coding	69.5090	105.4759
ENSG00000011052.21 NME1-NME2 protein_coding	0.0000	0.0000
ENSG00000011083.9 SLC6A7 protein_coding	0.0304	0.0467
ENSG00000011105.14 TSPAN9 protein_coding	23.7369	22.5234
ENSG00000011114.15 BTBD7 protein_coding	12.6910	6.0713
ENSG00000011132.12 APBA3 protein_coding	3.0387	7.7839
ENSG00000011143.19 MKS1 protein_coding	2.1740	2.0559
ENSG00000011198.10 ABHD5 protein_coding	48.2624	12.3630
ENSG00000011201.12 ANOS1 protein_coding	15.6776	2.7477
ENSG00000011243.18 AKAP8L protein_coding	7.5906	11.3367
ENSG00000011258.16 MBTD1 protein_coding	9.2212	7.7927
ENSG00000011260.14 UTP18 protein_coding	19.2734	46.9419
ENSG00000011275.19 RNF216 protein_coding	15.7290	37.4610
ENSG00000011295.16 TTC19 protein_coding	15.9883	12.6758
ENSG00000011304.22 PTBP1 protein_coding	41.5374	110.2129
ENSG00000011332.19 DPF1 protein_coding	0.0631	0.3950
ENSG00000011347.10 SYT7 protein_coding	5.9988	51.1837
ENSG00000011376.12 LARS2 protein_coding	3.5154	6.2616
ENSG00000011405.13 PIK3C2A protein_coding	30.3081	15.2711
ENSG00000011422.12 PLAUR protein_coding	4.1162	71.0088
ENSG00000011426.11 ANLN protein_coding	1.1183	87.7266
ENSG00000011451.21 WIZ protein_coding	13.0019	17.0112
ENSG00000011454.18 RABGAP1 protein_coding	29.1343	25.7102
ENSG00000011465.18 DCN protein_coding	890.2655	52.2357
ENSG00000011478.13 QPCTL protein_coding	5.1310	41.6825
ENSG00000011485.15 PPP5C protein_coding	9.6988	36.9376
ENSG00000011523.14 CEP68 protein_coding	22.4148	6.4517
ENSG00000011566.15 MAP4K3 protein_coding	17.7263	20.4986
ENSG00000011590.14 ZBTB32 protein_coding	0.1264	0.9655
ENSG00000011600.12 TYROBP protein_coding	93.1217	36.4176
ENSG00000011638.11 TMEM159 protein_coding	49.3417	52.1970
ENSG00000011677.13 GABRA3 protein_coding	0.0626	1.2023
ENSG00000012048.23 BRCA1 protein_coding	2.3155	5.1364
ENSG00000012061.16 ERCC1 protein_coding	12.5422	79.0808
ENSG00000012124.17 CD22 protein_coding	0.6878	0.3561
ENSG00000012171.20 SEMA3B protein_coding	12.9702	1.0813
ENSG00000012174.12 MBTPS2 protein_coding	8.4362	10.3193
ENSG00000012211.13 PRICKLE3 protein_coding	4.3908	12.2145
ENSG00000012223.13 LTF protein_coding	147.0001	3.2772
ENSG00000012232.9 EXTL3 protein_coding	8.4144	9.7106
ENSG00000012504.15 NR1H4 protein_coding	0.0000	0.0000
ENSG00000012660.14 ELOVL5 protein_coding	343.8154	38.5371
ENSG00000012779.11 ALOX5 protein_coding	8.9670	6.6750
ENSG00000012817.16 KDM5D protein_coding	0.0000	0.0000
ENSG00000012822.16 CALCOCO1 protein_coding	49.4011	8.4056
ENSG00000012963.15 UBR7 protein_coding	29.4585	14.8307
ENSG00000012983.11 MAP4K5 protein_coding	14.4798	21.5689
ENSG00000013016.16 EHD3 protein_coding	7.8647	14.8187
ENSG00000013275.8 PSMC4 protein_coding	43.7103	192.0873
ENSG00000013288.9 MAN2B2 protein_coding	24.2646	14.6474
ENSG00000013293.6 SLC7A14 protein_coding	0.0660	0.0048
ENSG00000013297.12 CLDN11 protein_coding	29.0397	0.9122
ENSG00000013306.16 SLC25A39 protein_coding	39.4650	187.2420
ENSG00000013364.19 MVP protein_coding	40.2817	48.8310
ENSG00000013374.16 NUB1 protein_coding	37.4877	38.2307
ENSG00000013375.16 PGM3 protein_coding	15.1656	20.5039
ENSG00000013392.8 RWDD2A protein_coding	12.2265	5.9970
ENSG00000013441.16 CLK1 protein_coding	59.8403	22.3419
ENSG00000013503.10 POLR3B protein_coding	7.9405	8.8426
ENSG00000013523.11 ANGEL1 protein_coding	7.9509	8.1974
ENSG00000013561.18 RNF14 protein_coding	37.8562	27.4184
ENSG00000013563.14 DNASE1L1 protein_coding	4.9950	9.4912
ENSG00000013573.17 DDX11 protein_coding	2.2702	6.9294
ENSG00000013583.10 HEBP1 protein_coding	42.6002	34.0156
ENSG00000013588.9 GPRC5A protein_coding	7.0073	144.0799
ENSG00000013619.14 MAMLD1 protein_coding	7.5746	7.6962
ENSG00000013725.14 CD6 protein_coding	0.9441	1.5493
ENSG00000013810.20 TACC3 protein_coding	2.3257	20.6810
ENSG00000014123.10 UFL1 protein_coding	29.5324	14.2794
ENSG00000014138.9 POLA2 protein_coding	0.7926	2.1417
ENSG00000014164.7 ZC3H3 protein_coding	7.7096	28.9101
ENSG00000014216.16 CAPN1 protein_coding	33.4981	115.7179
ENSG00000014641.21 MDH1 protein_coding	135.1835	81.1724
ENSG00000014824.14 SLC30A9 protein_coding	24.4685	19.9193
ENSG00000014914.21 MTMR11 protein_coding	5.6405	8.9816
ENSG00000014919.13 COX15 protein_coding	22.0951	8.4004
ENSG00000015133.19 CCDC88C protein_coding	3.6423	6.8021
ENSG00000015153.15 YAF2 protein_coding	3.2335	4.0371
ENSG00000015171.20 ZMYND11 protein_coding	70.5632	75.8690
ENSG00000015285.11 WAS protein_coding	5.0032	5.6003
ENSG00000015413.9 DPEP1 protein_coding	0.2529	0.8750
ENSG00000015475.19 BID protein_coding	11.4536	35.8976
ENSG00000015479.20 MATR3 protein_coding	0.9146	0.6783
ENSG00000015520.15 NPC1L1 protein_coding	0.9447	0.3126
ENSG00000015532.10 XYLT2 protein_coding	10.0740	16.7777
ENSG00000015568.13 RGPD5 protein_coding	0.0031	0.0000
ENSG00000015592.16 STMN4 protein_coding	0.0131	0.0151
ENSG00000015676.18 NUDCD3 protein_coding	33.3889	41.3668
ENSG00000016082.15 ISL1 protein_coding	0.4915	0.3720
ENSG00000016391.11 CHDH protein_coding	3.1561	6.7471
ENSG00000016402.13 IL20RA protein_coding	5.4612	0.5907
ENSG00000016490.16 CLCA1 protein_coding	0.0000	0.0000
ENSG00000016602.9 CLCA4 protein_coding	0.5523	0.1158
ENSG00000016864.18 GLT8D1 protein_coding	34.8395	29.1617
ENSG00000017260.20 ATP2C1 protein_coding	39.0439	113.5222
ENSG00000017427.17 IGF1 protein_coding	10.2641	0.0061
ENSG00000017483.15 SLC38A5 protein_coding	0.8830	13.5480
ENSG00000017797.13 RALBP1 protein_coding	31.8398	36.8646
ENSG00000018189.13 RUFY3 protein_coding	12.3528	8.2284
ENSG00000018236.15 CNTN1 protein_coding	6.2201	9.9831
ENSG00000018280.17 SLC11A1 protein_coding	0.5985	2.9963
ENSG00000018408.15 WWTR1 protein_coding	34.3283	48.1929
ENSG00000018510.17 AGPS protein_coding	23.1496	17.2678
ENSG00000018607.7 ZNF806 transcribed_unprocessed_pseudogene	0.0587	0.0193
ENSG00000018610.15 CXorf56 protein_coding	25.7670	29.2683
ENSG00000018625.15 ATP1A2 protein_coding	89.8223	0.0396
ENSG00000018699.13 TTC27 protein_coding	11.2477	22.1145
ENSG00000018869.17 ZNF582 protein_coding	1.6274	2.1596
ENSG00000019102.12 VSIG2 protein_coding	3.3790	0.4483
ENSG00000019144.19 PHLDB1 protein_coding	31.8077	10.4639
ENSG00000019169.10 MARCO protein_coding	49.0342	14.0398
ENSG00000019186.10 CYP24A1 protein_coding	0.2387	0.1251
ENSG00000019485.13 PRDM11 protein_coding	2.5266	1.2706
ENSG00000019505.8 SYT13 protein_coding	0.4768	9.3193
ENSG00000019549.13 SNAI2 protein_coding	20.1246	11.1774
ENSG00000019582.15 CD74 protein_coding	573.4880	120.0829
ENSG00000019991.18 HGF protein_coding	3.1011	0.1995
ENSG00000019995.6 ZRANB1 protein_coding	10.6422	7.2766
ENSG00000020129.16 NCDN protein_coding	7.5855	26.6778
ENSG00000020181.18 ADGRA2 protein_coding	38.3461	11.8470
ENSG00000020256.20 ZFP64 protein_coding	4.8749	13.0507
ENSG00000020426.11 MNAT1 protein_coding	8.6270	7.5544
ENSG00000020577.14 SAMD4A protein_coding	9.8691	5.5183
ENSG00000020633.19 RUNX3 protein_coding	2.9889	11.3030
ENSG00000021300.14 PLEKHB1 protein_coding	3.1752	17.1645
ENSG00000021355.13 SERPINB1 protein_coding	51.9315	25.3489
ENSG00000021461.17 CYP3A43 protein_coding	0.1805	0.0568
ENSG00000021488.13 SLC7A9 protein_coding	0.1332	1.2483
ENSG00000021574.13 SPAST protein_coding	6.0287	8.6992
ENSG00000021645.20 NRXN3 protein_coding	0.1393	0.3822
ENSG00000021762.20 OSBPL5 protein_coding	10.1905	15.6436
ENSG00000021776.11 AQR protein_coding	11.5268	11.0408
ENSG00000021826.17 CPS1 protein_coding	4.6419	0.4121
ENSG00000021852.13 C8B protein_coding	0.0158	0.0548
ENSG00000022267.19 FHL1 protein_coding	740.2107	11.5929
ENSG00000022355.18 GABRA1 protein_coding	0.0000	0.0000
ENSG00000022556.16 NLRP2 protein_coding	0.2879	59.5535
ENSG00000022567.10 SLC45A4 protein_coding	3.4181	6.1210
ENSG00000022840.16 RNF10 protein_coding	70.5874	72.9402
ENSG00000022976.15 ZNF839 protein_coding	2.9182	1.7048
ENSG00000023041.11 ZDHHC6 protein_coding	21.1843	26.7182
ENSG00000023171.18 GRAMD1B protein_coding	0.3590	0.4841
ENSG00000023191.17 RNH1 protein_coding	46.5316	51.0998
ENSG00000023228.14 NDUFS1 protein_coding	33.6905	14.1399
ENSG00000023287.13 RB1CC1 protein_coding	30.1287	29.8992
ENSG00000023318.8 ERP44 protein_coding	40.3803	45.5990
ENSG00000023330.15 ALAS1 protein_coding	47.2446	84.1099
ENSG00000023445.16 BIRC3 protein_coding	5.7439	17.0831
ENSG00000023516.9 AKAP11 protein_coding	29.7931	12.6865
ENSG00000023572.10 GLRX2 protein_coding	7.3300	7.3839
ENSG00000023608.5 SNAPC1 protein_coding	4.5388	9.1209
ENSG00000023697.13 DERA protein_coding	21.8884	32.8320
ENSG00000023734.11 STRAP protein_coding	141.3133	242.7640
ENSG00000023839.12 ABCC2 protein_coding	0.7177	0.6749
